time,uav0_coords,uav0_state,uav1_coords,uav1_state,uav2_coords,uav2_state,uav3_coords,uav3_state,uav4_coords,uav4_state,uav5_coords,uav5_state,uav6_coords,uav6_state
6.103515625e-05,"[None, None, None]",,"[0.014445501379668713, 29.99091339111328, 10.0010986328125]",,"[-10.018692016601562, 70.00228118896484, 10.000861167907715]",,"[None, None, None]",,"[-35.05204772949219, -51.07340621948242, 9.993976593017578]",,"[-50.99150466918945, -34.998680114746094, 10.000736236572266]",,"[-50.99812698364258, -0.013130287639796734, 9.995299339294434]",
0.05062413215637207,"[-20.122867584228516, 10.070292472839355, 10.002238273620605]",,"[0.013382027857005596, 29.990169525146484, 10.000746726989746]",,"[-10.018653869628906, 70.00179290771484, 10.000816345214844]",,"[39.987098693847656, 24.97026824951172, 10.000089645385742]",,"[-35.05253219604492, -51.07395553588867, 9.993852615356445]",,"[-50.99174880981445, -34.99885940551758, 10.000518798828125]",,"[-50.99824523925781, -0.013259814120829105, 9.995002746582031]",
0.10029315948486328,"[-20.122896194458008, 10.071999549865723, 10.00211238861084]",,"[0.012813911773264408, 29.98978614807129, 10.000560760498047]",,"[-10.01854133605957, 70.00057220458984, 10.000615119934082]",,"[39.98664474487305, 24.969470977783203, 9.999947547912598]",,"[-35.05368423461914, -51.075252532958984, 9.993639945983887]",,"[-50.99190139770508, -34.99892044067383, 10.000343322753906]",,"[-50.99833297729492, -0.013353105634450912, 9.994839668273926]",
0.1506972312927246,"[-20.1229248046875, 10.072774887084961, 10.00206184387207]",,"[0.011444858275353909, 29.988943099975586, 10.000247955322266]",,"[-10.018471717834473, 69.9998550415039, 10.000524520874023]",,"[39.98600387573242, 24.968395233154297, 9.999755859375]",,"[-35.054203033447266, -51.07581329345703, 9.993561744689941]",,"[-50.992332458496094, -34.99906539916992, 10.000190734863281]",,"[-50.99855041503906, -0.013563012704253197, 9.994536399841309]",
0.20026302337646484,"[-20.12266731262207, 10.074808120727539, 10.001864433288574]",,"[0.010712641291320324, 29.988574981689453, 10.000127792358398]",,"[-10.018399238586426, 69.99880981445312, 10.000356674194336]",,"[39.98518371582031, 24.967451095581055, 9.999547004699707]",,"[-35.055442810058594, -51.076995849609375, 9.993304252624512]",,"[-50.992706298828125, -34.99916458129883, 10.000144958496094]",,"[-50.99867248535156, -0.013631854206323624, 9.994462013244629]",
0.2502260208129883,"[-20.122583389282227, 10.07551097869873, 10.001742362976074]",,"[0.009255681186914444, 29.98786735534668, 9.999862670898438]",,"[-10.018369674682617, 69.99832153320312, 10.000282287597656]",,"[39.98466873168945, 24.969593048095703, 9.998632431030273]",,"[-35.0561637878418, -51.07761001586914, 9.99323844909668]",,"[-50.99331283569336, -34.99924850463867, 10.000064849853516]",,"[-50.99895477294922, -0.013793257996439934, 9.994251251220703]",
0.30034804344177246,"[-20.12174415588379, 10.076117515563965, 10.001609802246094]",,"[0.008666522800922394, 29.98756217956543, 9.999683380126953]",,"[-10.018234252929688, 69.99752807617188, 10.000242233276367]",,"[39.984371185302734, 24.96932029724121, 9.998604774475098]",,"[-35.05678939819336, -51.07826232910156, 9.993168830871582]",,"[-50.99356460571289, -34.999271392822266, 10.00002384185791]",,"[-50.99907302856445, -0.013898552395403385, 9.994109153747559]",
0.3507881164550781,"[-20.12112045288086, 10.077509880065918, 10.00152587890625]",,"[0.007518884725868702, 29.986900329589844, 9.999411582946777]",,"[-10.018152236938477, 69.9971694946289, 10.000249862670898]",,"[39.9838752746582, 24.968835830688477, 9.998517036437988]",,"[-35.057586669921875, -51.079166412353516, 9.993184089660645]",,"[-50.99443054199219, -34.999473571777344, 10.000065803527832]",,"[-50.999385833740234, -0.013983400538563728, 9.993807792663574]",
0.4002342224121094,"[-20.120508193969727, 10.078999519348145, 10.001608848571777]",,"[0.0068396758288145065, 29.986520767211914, 9.999359130859375]",,"[-10.017986297607422, 69.99656677246094, 10.000272750854492]",,"[39.983551025390625, 24.968507766723633, 9.99863338470459]",,"[-35.057952880859375, -51.07955551147461, 9.993324279785156]",,"[-50.994651794433594, -34.99946975708008, 10.000150680541992]",,"[-50.999473571777344, -0.01404599379748106, 9.99367904663086]",
0.45026302337646484,"[-20.120229721069336, 10.079648971557617, 10.001673698425293]",,"[0.005780510604381561, 29.98592758178711, 9.999305725097656]",,"[-10.017882347106934, 69.9961929321289, 10.000347137451172]",,"[39.98350524902344, 24.968421936035156, 9.998703002929688]",,"[-35.05870056152344, -51.08038330078125, 9.993905067443848]",,"[-50.99532699584961, -34.99948501586914, 10.000255584716797]",,"[-50.99964904785156, -0.01409256923943758, 9.993629455566406]",
